pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
50,500,0.7,0.1,3,ordered,swap,4036551.0900090025,416.96297335624695,5301815.66851581,5317052.485722208,4791393.9589620745,4800206.219053017,4475765.478374799,4490000.927424136,4203633.75778588,4207513.810577019,4036551.0900090025,4041159.9875839734
50,500,0.7,0.1,3,ordered,reverse,3608204.742341911,425.08829498291016,5257492.063386201,5278606.628575072,4613232.913101376,4636884.418332445,4161410.749986323,4193106.90760336,3868059.746307261,3876877.7336678384,3608204.742341911,3618780.2978051454
50,500,0.7,0.1,3,edg,swap,3740767.730304611,1961.3768875598907,5109677.5503683835,5157526.329417363,4590550.864321511,4610405.2656001,4266910.206224568,4277930.860073737,3985142.2308601383,3991560.9218371334,3740767.730304611,3746772.5089152795
50,500,0.7,0.1,3,edg,reverse,3811341.7166164475,1998.13516831398,5018129.916482805,5056061.86555503,4562270.76218239,4580232.387747602,4253695.508349209,4268417.469118651,3999732.597331467,4006703.9688766515,3811341.7166164475,3813090.6387998867
50,500,0.7,0.1,5,ordered,swap,4106198.652170845,415.242253780365,5424248.535858357,5442129.311179716,4945039.478838033,4948589.548137716,4638642.373501302,4660177.130067664,4330695.59681574,4333161.352846021,4106198.652170845,4116648.5436685802
50,500,0.7,0.1,5,ordered,reverse,3645487.1454916387,417.67205262184143,5296917.323268315,5305837.97867776,4662344.504415081,4683274.905535692,4167373.3765706993,4179479.132373177,3869683.597509309,3875127.270598436,3645487.1454916387,3650861.1830090964
50,500,0.7,0.1,5,edg,swap,3587302.1523515484,1665.9826455116272,4997723.200483185,5020067.319052327,4427131.942134071,4427282.647370799,4087760.133933725,4094701.0371070188,3836023.3072407786,3837395.4477176275,3587302.1523515484,3592073.395728311
50,500,0.7,0.1,5,edg,reverse,3666526.5233456176,1532.29665017128,4977177.997589767,4987949.099214882,4463805.597855061,4485438.307678777,4122268.027636622,4136516.643281719,3892058.685550191,3898009.3654996282,3666526.5233456176,3678088.3704731874
50,500,0.7,0.3,3,ordered,swap,3806829.6337577696,389.6412925720215,5167951.789036805,5196419.83068295,4665575.00879485,4697293.930089545,4277389.2101774905,4291802.010859506,4029012.612316689,4034790.2000225885,3806829.6337577696,3819936.0926744295
50,500,0.7,0.3,3,ordered,reverse,3511122.8894836884,371.9462933540344,5154958.991860339,5175176.9972163355,4544952.765881967,4571844.31331221,4121452.2888367125,4146671.603920266,3786660.190071672,3806176.155056857,3511122.8894836884,3527057.10188684
50,500,0.7,0.3,3,edg,swap,3499669.974831668,2117.8141362667084,4949960.085148286,4995474.097126019,4504693.497671704,4531327.861665728,4113873.79619939,4129897.52501217,3756198.4184068893,3776991.025581818,3499669.974831668,3512100.8191577774
50,500,0.7,0.3,3,edg,reverse,3446245.0626858263,1830.4556410312653,4846148.0700075785,4879503.941151325,4409876.066601559,4437664.190559562,4021447.9982694294,4049761.3691700627,3691913.967163075,3704733.8809029614,3446245.0626858263,3460644.5261201626
50,500,0.7,0.3,5,ordered,swap,3607064.9118122235,406.15472388267517,5172995.707482363,5186168.965597047,4510920.2745725475,4529279.967970032,4095666.06846432,4111767.1765352236,3843301.781131071,3863803.1778925876,3607064.9118122235,3621405.3379624547
50,500,0.7,0.3,5,ordered,reverse,3387737.5972789223,407.5154082775116,5094304.1971197035,5111450.975473259,4485038.4165696995,4504639.280253318,3966275.116071716,3990703.9023017674,3671895.0060508884,3681925.2896058746,3387737.5972789223,3393536.7708872976
50,500,0.7,0.3,5,edg,swap,3336640.3802849688,1623.005961894989,5019916.570445777,5043732.885001684,4385686.786246368,4410972.171114091,3932310.8393798256,3950110.301764339,3611465.450328021,3623380.234940241,3336640.3802849688,3353143.697298637
50,500,0.7,0.3,5,edg,reverse,3308265.515743671,1610.4766671657562,4948648.2041353155,4977257.6449142005,4359678.323764837,4391344.875222611,3934303.6160539454,3945899.4209903465,3598558.743529587,3608511.927534501,3308265.515743671,3317128.0530378693
