pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
100,500,0.7,0.1,3,ordered,swap,47953.32792212935,36.68927478790283,77385.1435045445,78074.85029357688,59930.15501538089,61265.58040304278,53379.53826237163,54163.09543169926,50900.2992066499,51419.909918517245,47953.32792212935,48344.05898408083
100,500,0.7,0.1,3,ordered,reverse,32782.73695840335,43.432963848114014,63792.02829432952,68074.32819260145,48041.53766394659,48956.983602536915,39869.91902277331,40349.69895743137,37461.88654427041,38037.56849380607,32782.73695840335,33049.78651035577
100,500,0.7,0.1,3,edg,swap,35378.83120267567,67.59092092514038,61406.97908366886,64129.12667008299,44707.361496468155,45464.067646272946,39007.75094865267,40021.31930673124,38237.40901543304,39040.98969679606,35378.83120267567,35738.68060363967
100,500,0.7,0.1,3,edg,reverse,34124.343811557934,66.84055042266846,61693.60741364596,62607.81994107974,47787.02356559792,48333.5058939833,41344.72785425853,41877.71513049487,36772.0206490273,37099.585541864115,34124.343811557934,34381.76880514699
100,500,0.7,0.1,5,ordered,swap,46806.57768872128,45.89355945587158,67964.59075313875,69546.97496025379,58814.21209395337,60167.059912789206,49973.950924636505,50788.242341909034,48852.82770760178,49020.82392276647,46806.57768872128,47304.91373622396
100,500,0.7,0.1,5,ordered,reverse,30536.17823732059,45.180235624313354,58204.13711475261,60504.14498960951,44512.68916035045,44895.09369572644,38157.1490112215,38970.058005364466,32789.53846312007,33091.999040175455,30536.17823732059,30874.747834949245
100,500,0.7,0.1,5,edg,swap,34640.86495566495,68.56697535514832,58006.040642201326,58430.41853559013,48580.86481005686,49477.583204841234,40641.31058170345,41954.5759607322,37364.99761473346,37759.80439447674,34640.86495566495,35223.55028794056
100,500,0.7,0.1,5,edg,reverse,31939.58744051108,66.48214411735535,53396.45351392902,56049.36883898736,41310.73520213208,42051.13900808927,36734.5568923175,37086.95636347837,33847.77777950971,34120.92277140622,31939.58744051108,32257.07119830268
100,500,0.7,0.3,3,ordered,swap,48171.87646039935,43.13693141937256,75333.7069596749,79297.61674423303,61977.2340975291,64426.790461409706,53527.81906472876,56850.22562579305,50810.496749661506,52818.31142024546,48171.87646039935,50018.80622456565
100,500,0.7,0.3,3,ordered,reverse,29425.55192748697,42.83549785614014,67034.52108707704,71671.20022642915,47637.20617108003,49302.25441234914,38559.90716631285,39789.731307326765,31892.185614911526,33146.170887342654,29425.55192748697,30425.524767540024
100,500,0.7,0.3,3,edg,swap,30843.826400554524,75.89632797241211,60931.30808157191,66912.20412039297,43893.50021794822,45407.05150645576,38263.66501142392,40247.93178330458,33435.64340223481,35631.92322351307,30843.826400554524,32612.484783688116
100,500,0.7,0.3,3,edg,reverse,26693.57403490831,70.61712312698364,57799.0087870345,59722.66256123496,42073.6025738639,44781.103946646246,33723.9043284185,35865.44199445631,28704.046804021513,29493.40310802565,26693.57403490831,28095.785098497618
100,500,0.7,0.3,5,ordered,swap,45979.54299966842,49.93198037147522,69392.9245015132,71334.24838142116,57862.52572993227,59043.924737790694,49687.96690422849,51290.53100415699,47804.16049535536,49613.96578701418,45979.54299966842,47385.63904198741
100,500,0.7,0.3,5,ordered,reverse,24572.57931756015,44.707295656204224,59126.29553303414,60711.79667880816,38790.84881347555,40182.72694048556,28663.50671700463,30178.367798235566,25736.210313817217,26562.43592055426,24572.57931756015,25180.795369803942
100,500,0.7,0.3,5,edg,swap,29415.13085564177,77.41957926750183,50742.94134444706,52984.85552904415,34864.40243446599,37196.12622631205,30465.883831775824,32614.428760125666,29697.44803141746,31166.778408450562,29415.13085564177,31251.01098096806
100,500,0.7,0.3,5,edg,reverse,25886.709144930108,73.78599548339844,55283.04216586834,57699.84007428932,37863.38373499827,38735.36919555984,31126.47953486999,31978.352576773665,27472.955732473183,28223.62819522764,25886.709144930108,27177.940445576114
100,500,0.9,0.1,3,ordered,swap,45535.02377117318,51.27622938156128,67856.32448107013,69332.22793294671,57529.07252013343,59399.09942770656,51198.041285475476,52900.473027437685,48426.447103671206,50175.74159568784,45535.02377117318,46187.24752944183
100,500,0.9,0.1,3,ordered,reverse,31007.06002699102,43.91676616668701,66120.32599372689,68590.45739008152,49042.250713466354,49752.764613502404,39342.02716329452,40129.92912820281,35099.11337216468,36894.49091569071,31007.06002699102,31132.991568154517
100,500,0.9,0.1,3,edg,swap,36203.526372515764,89.23724031448364,67108.94860364577,69889.16665020576,51304.53359277474,52081.97464762927,46626.54724996344,47714.47330288691,42281.61599476911,43070.09882039344,36203.526372515764,36436.0730094042
100,500,0.9,0.1,3,edg,reverse,29181.64057437349,77.93051075935364,59041.99137770184,61046.58357826693,44449.662033871246,45859.598587963126,36414.098130369355,36747.162506490065,31734.15786444801,31894.928533819384,29181.64057437349,29323.10493419215
100,500,0.9,0.1,5,ordered,swap,56235.84918640999,44.11889886856079,80562.26710831524,81812.82547108598,71751.60871395968,72353.5659299992,62616.567003299744,64755.57240458322,58478.869750791746,60944.862278491164,56235.84918640999,56604.650216716436
100,500,0.9,0.1,5,ordered,reverse,32738.36628084359,45.87968897819519,59591.10749055399,60781.61561431286,46451.17132046133,47551.07011406144,41026.382247602785,42022.57111263518,34045.469156676285,34576.81002454982,32738.36628084359,33285.11792705017
100,500,0.9,0.1,5,edg,swap,32602.01041048385,86.98150300979614,48997.0673390846,50731.93246161999,40586.96841007903,41819.53324162492,36692.245598346744,36818.793924262856,33272.15485257356,34699.28747017285,32602.01041048385,33317.4939475481
